ids,batches,summaries
122075,senior software engineersummarythe wikimedia foundation looking product software engineer join team reporting product engineering management product software engineer responsible software engineering product user experience role work mostly remote environment value teamwork consensus oriented approach get write open source code collaborative experience supporting billion user get place belief successful everyone good work life balance responsible : improving wikipedia product experience iterating new product feature collaboration designer product manager writing multilingual accessible javascript cs php creating maintaining internet apis server scripting language instrumenting component monitor feature quality characteristic leveraging caching persistence technology skill experience : year related professional experience functional programming oop experience building user friendly feature software component good performance focused software engineering : enjoy writing unit integration test proactively addressing security code review feedback thoughtfully balancing architectural tradeoff quality important u : desire make meaningful contribution knowledge equity free culture open access emphasis communicating clearly synchronous asynchronous channel additionally wed love : fluency one regional language africa asia latin america experience developing market africa asia latin america practical skill vue j react history open source contribution bachelor master doctorate degree computer science management information system stem field equivalent certification familiarity wikipedia wikitext markdown editing content management system e g mediawiki drupal wordpress grow care mediawiki wikimedia specific service mediawiki open source php mysql javascript web application power wikipedia wikimedia foundation website incrementally developed year become richly featured wiki engine basis hundred extension skin vibrant volunteer community service layer utilize number technology following team actively seeking candidate : web teamon web team work improve user experience reader wikimedia site reader responsible billion monthly page view billion unique device currently working bring dark mode font size customization user well enhancement accessibility page exploring future focused growing platform capability working community improve flexibility consistency user experience across desktop mobile web full stack engineer frontend focus responsible making change javascript based frontend php based backend code emphasis frontend user experience skin based templating system comfortable benchmarking running synthetic test understanding x prevent growth teamon growth team mission support new account holder designing building engaging intuitive inclusive product make easier join wikimedia movement envision thriving wikimedia community barrier entry contributing wikipedia wikimedia project low possible thus allowing people successfully become active editor advance role require experience leading sustainable diverse knowledge common far main project focused machine learning driven task recommendation volunteer mentorship afull stack engineer experience backend programming role understanding fundamental frontend concept well responsible building various apis power user facing component product user experience wikimedia foundationthe wikimedia foundation nonprofit organization operates wikipedia wikimedia free knowledge project vision world every single human freely share sum knowledge believe everyone potential contribute something shared knowledge everyone able access knowledge freely host wikipedia wikimedia project build software experience reading contributing sharing wikimedia content support volunteer community partner make wikimedia possible advocate policy enable wikimedia free knowledge,"Job Information:
The job opening is for a Senior Software Engineer at the Wikimedia Foundation. The role involves improving the product experience of Wikipedia by iterating on new product features and collaborating with designers and product managers. The engineer will be responsible for writing code in JavaScript, CS, and PHP, and creating and maintaining internet APIs. They should have experience in functional programming and building user-friendly software components. The ideal candidate should enjoy writing unit and integration tests and proactively addressing security and code review feedback. They should also have a desire to make a meaningful contribution to knowledge equity and free culture. Preferred qualifications include fluency in a regional language in Africa, Asia, or Latin America, experience with open-source contributions, and a degree in computer science or a related field.

About the company and Compensation and Benefits:
The Wikimedia Foundation is a nonprofit organization that operates Wikipedia and other Wikimedia projects. They believe in a world where every human can freely share and access knowledge. The company values teamwork and a consensus-oriented approach. The position offers a good work-life balance. The job is mostly remote, allowing for flexibility. The company offers competitive compensation and benefits, although specific details are not provided in the job opening."
122076,employment hero australian tech unicorn valued billion world class software easiest way small medium sized business manage hr payroll employee engagement benefit grown year year since inception expanded globally late service business continue grow rapidly beyond believe distributed employment take remote first approach team employment hero hire across globe assuming candidate eligible working right suitable timezone youve got skill role passion mission want hear roleour managed implementation team responsible implementing employment hero platform customer recently customer research along team customer feedback shown need review way managed implementation team provide service order meet customer expectation increase employee happiness part change need improve way manage direct implementation partner working part managed implementation team implementation vendor manager responsible managing relationship direct implementation partnersworking senior manager implementation identifying potential vendor evaluating capability experience negotiating contract managing vendor relationship need imagine way interact implementation partner design robust vendor program ensure success role accountable building metric managing measuring performance mitigate vendor risk drive innovative solution establish way working achieve company objective primary contact point implementation partner managing escalation ensuring manage project portfolio line customer experience standard time budget role challenging successful need communicate effectively influence stakeholder prioritise task drive outcome responsibilitiesproject planning coordination : work closely vendor develop project plan timeline budget ensure vendor deliverable aligned project objective coordinate project activity internal stakeholder quality control assurance : ensuring vendor deliver high quality work meet project requirement specification establish quality control process conduct regular review audit monitor vendor performance service level agreement slas risk management : identifying managing risk associated vendor performance develop risk management plan monitor report risk mitigation strategy escalate issue needed communication reporting : maintaining regular communication vendor project stakeholder senior management provide regular project update status report performance metric ensure party informed aligned escalation : respond partner communication query implementation including customer escalationseducation : organise conduct system training required educating best practice using eh platformbudget management : managing project budget vendor invoice ensure vendor payment made time accordance contractual obligation project cost tracked reported accurately requirement year vendor channel management experience ideally saas environment payroll implementation experience required understand complexity nuance implementation journey excellent communication skill stakeholder management internal external team drive change improvement service offer time management skill bring dependable workplace managing challenging workload need scheduling management effectively manage high volume project portfolio training experience client facing processing highly respected benefit self health wealth happiness program remote first flexible working arrangement sydney office dog friendly remains open team meeting collaboration day need day away home office covid safe workspace choose use generous budget spend setting home office need desk chair screen name set success latest greatest hardware tool tech continuing education post graduate assistance program virtual yoga class weekly virtual happy hour social event get know new colleague quarterly yearly team celebration access eh employee benefit program hero reward shop course employee share option program : owner employment hero join employment hero raised achieving unicorn status february linkedin top startup ranked australia australian,"Job Information:

Title: Senior Manager, Implementation
Objective: The role involves managing the implementation of the Employment Hero platform for customers, ensuring customer satisfaction and employee happiness. The focus is on improving the way the managed implementation team provides services to meet customer expectations.

Responsibilities/Key Duties:
- Project planning and coordination: Develop project plans, timelines, and budgets in collaboration with vendors and internal stakeholders.
- Quality control assurance: Establish quality control processes, conduct regular reviews and audits, and monitor vendor performance.
- Risk management: Identify and manage risks associated with vendor performance, develop risk management plans, and escalate issues as needed.
- Communication and reporting: Maintain regular communication with vendors, project stakeholders, and senior management, providing updates and performance metrics.
- Escalation management: Respond to partner communication and queries, including customer escalations.

Qualifications/Requirements:
- Experience in vendor channel management, ideally in a SaaS environment.
- Payroll implementation experience.
- Excellent communication and stakeholder management skills.
- Strong time management and scheduling abilities.
- Training experience and client-facing skills.

Preferred Skills/Experience:
- Budget management experience.
- Knowledge of the complexity and nuances of implementation journeys.
- Ability to manage a high volume of projects effectively.

About the company and Compensation and Benefits:

Employment Hero is an Australian tech unicorn valued at a billion dollars. It is a world-class software company that provides an easy way for small and medium-sized businesses to manage HR, payroll, and employee engagement. The company has grown year after year since its inception and has expanded globally. They believe in distributed employment and have a remote-first approach, hiring candidates across the globe. The company offers a flexible working arrangement, a dog-friendly office in Sydney, and a COVID"
122077,agreenaagreena exciting dynamic purpose oriented organisation united mission drive impact farmer climate rooted agriculture finance technology team expert range soil carbon scientist software developer market strategist regulatory affair expert nationality gathered common agreena flag either working headquarters copenhagen remotely across europe company offer supportive positive work environment opportunity learning leading growth matter professional journey believe giving employee lot responsibility encourage new thinking innovation fun agricultural data collectionagricultural data collection august june across polandagreena seeking part time seasonal agricultural data collection contractor across poland help field data collection part ongoing sustainability project tracking regenerative agricultural practice agrifood supply chain responsibility : travelling local designated area interest collecting information including crop grown level tillage intensity following simple protocol document required type data per field logging information field mobile device using easy use app field survey conducted roadside uploading data daily requirement : travel may required farm assigned region determined based geographic location iphone android phone tablet run data collection app valid driver licence car travel assigned location experience working agriculture level reliably confidently identify major crop type intensity tillage performed timeline : work take place august june work flexible schedule choose number hour work minimum hour day per week required compensation : employment contract based surveyor self employed meaning tax responsibility contractor payment made per data point collected average payment full day data collection hour collecting pln plus expense listed : lunch covered rate pln per full hour daymileage covered set rate pln per kmif would like part exciting project ultimate goal rewarding farmer regenerative sustainable agricultural practice please apply link,"Job Information:
- Job Title: Agricultural Data Collection Contractor
- Job Objective: To assist in field data collection for an ongoing sustainability project tracking regenerative agricultural practices in the agrifood supply chain.
- Responsibilities/Key Duties: Traveling to designated areas, collecting information on crop types and tillage intensity, following a simple protocol, documenting required data per field, logging information on a mobile device using an easy-to-use app, conducting field surveys roadside, and uploading data daily.
- Qualifications/Requirements: Experience working in agriculture, ability to reliably and confidently identify major crop types and tillage practices.
- Preferred Skills/Experience: Valid driver's license and access to an iPhone, Android phone, or tablet to run the data collection app.

About the Company and Compensation and Benefits:
- Company: Agreena
- Location: Headquarters in Copenhagen, with remote work across Europe.
- Culture/Values/Mission: Exciting, dynamic, purpose-oriented organization with a united mission to drive impact in farmer climate-rooted agriculture.
- Compensation: Employment contract based on a surveyor self-employed model, with payment made per data point collected. Average payment for a full day of data collection is PLN plus expenses such as lunch and mileage."
122083,overviewrarebase early stage biotechnology public benefit corporation based palo alto california working advance personalized medicine thousand genetic disease effective treatment operate intersection technology biology collaborating closely patient community ensure drug discovery development aligned shared goal bring effective treatment clinic quickly safely possible function drug target discovery platform integrates cellular modeling disease functional genomics high throughput screening high content imaging computational biology identify molecule address underlying biology genetic disease support rapid growth building next generation automated lab recruiting san francisco bay area based scientific team intimately involved development rarebase backed top tier institutional investor pharma biotech angel investor family personally affected rare disease others truly care mission invent therapeutic development genetic disease advisor leader biotech genetic disease community opportunityas scientific partnership lead first line translate complex scientific concept patient organization patient advocate directly impacted rare disease highly visible role connect new existing external partner take lead building trust well nurturing managing tracking relationship evolve throughout collaboration lifecycle work cross functionally science computational biology research operation team convert new relationship formal research collaboration successful role need strong understanding genetics drug discovery process need comfortable discussing sensitive topic wide range audience including academic industry professional laypeople great candidate excited facilitate advancement rare disease program next level willing think outside box best move opportunity stage keeping urgency determination patient organization serve identify way continuously improve process way engage rare disease community work serve core component base many downstream operation product decision critical growth success organize lead science focused meeting patient organization network scientific advisor e g scientific advisory board pulling member rarebase science team needed clearly communicate progress research program scientific lay term via written update report presentation effectively present opportunity expand advance research scope work closely head partnership keep partner informed coordinating call virtual update meeting engage cross functionally science program management computational biology team stay apprised update project development build manage relationship patient organization leader individual patient family identify new pre existing opportunity collaboration based ongoing advance rarebase science create clear engaging content explain new therapeutic development strategy discovery platform capability expand grow bring track record successfully managing multiple external partnership relationship parallel translating complex scientific term lay friendly language exceptional communication skill phd genetics related field experience working rare disease field translational research plus experience working patient organization plus offer opportunity work closely patient organization translational research premium health dental insurance competitive salary equity growing well funded startup generous vacation policy,"Job Information:

The job opening is for a scientific partnership lead at Rarebase, an early stage biotechnology public benefit corporation based in Palo Alto, California. The company's objective is to advance personalized medicine and develop effective treatments for genetic diseases. The position involves leading the translation of complex scientific concepts to patient organizations and advocates, as well as building and managing relationships with external partners. The candidate should have a strong understanding of genetics and the drug discovery process, and be comfortable discussing sensitive topics with a wide range of audiences. A PhD in genetics or a related field is preferred, along with experience in rare disease field and translational research.

About the company and Compensation and Benefits:

Rarebase is a biotechnology company backed by top-tier institutional investors, pharma and biotech companies, angel investors, and families personally affected by rare diseases. The company operates at the intersection of technology and biology, collaborating closely with the patient community to bring effective treatments to the clinic quickly and safely. The company is located in Palo Alto, California. The job offers a competitive salary, equity in the company, premium health and dental insurance, and a generous vacation policy."
122085,role support aml team ensuring effective client matter risk control place operate across full range practice area within firm globally contribute ensuring firm complies regulatory obligation appropriately manages mitigates risk issue aml analyst proficient following core compliance process : client due diligence cdd process including managing high risk client pep business acceptance committee process client care engagement term sanction monitoring including sanction update assessment aml risk depending client jurisdiction legal regulatory position commercial activity client pre approval process matter management including matter opening assessing compliance applicable regulation rule policy including sra law society scotland code conduct compliance auditing non compliance reporting responsibility conduct client due diligence cdd new existing client matter aml bribery sanction reputational risk perspective undertake client matter risk assessment undertake cdd third party payer assist ongoing monitoring existing client matter requires refreshing cdd existing client includes monitoring high risk client firm undertake sanction update screening firm current client matter monitor firm online monitoring tool take ownership stage aml workflow process escalate issue necessary senior member team advise matter opening process including working together matter member verein deal central aml inbox query assist firm internal audit process review update dentons internal compliance policy procedure assist aml operation manager senior financial crime lawyer project ad hoc assignment required list exhaustive team firm continue evolve develop changing domestic international legal landscape identify new way improving service firm important particular skill looking dynamic flexible team player highly developed critical thinking ass legal commercial risk presented firm advise appropriate mitigation strategy requirement relevant university degree legal compliance experience working law firm professional service environment experience demonstrate necessary critical thinking risk assessment considered highly effective research skill using relevant information source including resource ability use full potential good knowledge relevant compliance rule regulation including limited client care conflict interest confidentiality anti bribery corruption money laundering sanction able assemble research produce clear accurate finding analyze issue draw express conclusion succinctly able use internal precedent draft email plain english pc literate good working knowledge m office e g word excel powerpoint outlook able keep general administration date control open minded flexible creative thinker happy get involved whatever task facing team excellent written verbal communication skill confidently clearly explain problem issue partner client proactively contribute resolution strong problem solving analytical skill clearly explain present problem issue others able demonstrate excellent customer facing skill able make incisive decision remain calm pressure able analyse recognise need improvement system suggest option improvement aml operation manager senior financial crime lawyer take efficient organised approach dealing administration able ambassador dentons professional outlook attitude benefitsdentons world largest law firm delivering quality value client around globe dentons leader acritas global elite brand index bti client service award winner recognized prominent business legal publication innovation client service including founding nextlaw lab nextlaw global referral network dentons polycentric approach world class talent challenge status quo advance client interest community live,"Job Information:
The job opening is for an AML Analyst role in a global law firm. The main responsibilities include supporting the AML team in ensuring effective client matter risk control across various practice areas. The analyst will be responsible for client due diligence, client care engagement, sanction monitoring, matter management, compliance auditing, and non-compliance reporting. The role requires a relevant university degree, legal compliance experience, and knowledge of relevant compliance rules and regulations. The ideal candidate should have excellent critical thinking, research, and communication skills, as well as the ability to work in a team and handle pressure.

About the company and Compensation and Benefits:
The company is Dentons, the world's largest law firm, known for delivering quality and value to clients globally. They have a polycentric approach and are recognized for innovation and client service. The job location is not specified. The compensation and benefits associated with the job are not mentioned in the job opening."
122086,seeking people proficiency healthcare industry good writing skill interest artificial intelligence ai join community ai model trainer appens community expert worker help create improve ai generated content applying subject matter expertise writing ability help influence refine large language model llm llm fast developing technology underpinning new generative ai product like chatgpt work key input making ai model effective safer user simple qualification process providing model vital data generate accurate contextually fitting response healthcare related topic member community choose contribute variety project become available project range length hour multiple week even month offering ultimate flexibility manage schedule paid project opening requiring hour work dont hesitate apply dive exciting world ai model training role : main responsibility create evaluate refine pair prompt response sophisticated llm need effectively communicate understanding healthcare topic rank craft realistic nuanced ai prompt might ask ai model response want ai model answer provided access training material calibration exercise learn good answer like need : must eligible work philippine u english language speaker good writing proofreading skill good knowledge healthcare subject ability craft original response excellent attention detail learning mindset prior experience ai needed offer : flexible hour remote work competitive compensation opportunity learn work ai make positive impact development ai industry opportunity expand ai related project opportunity suit : people seeking gig based opportunity earn additional income gaining hand experience ai : subject matter expert researcher academic want learn contribute ai development student currently studying healthcare focused degree teacher tutor hand experience teaching healthcare subject lifelong learner interested exploring opportunity ai easy apply : register minute : click apply complete application form guideline quiz minute : take guideline quiz link sent email submit application calibration task minute : pas guideline quiz immediately receive email link paid calibration task related healthcare expertise start working : successful calibration receive email link join project ai model trainer healthcare subject start working immediately appen collect label image text speech audio video data used build continuously improve world innovative artificial intelligence system expertise includes global crowd one million skilled contractor speak language dialect location country industry advanced ai assisted data annotation platform reliable training data give leader technology automotive financial service retail healthcare government confidence deploy world class ai product founded appen customer office globally,"Job Information:

Title: AI Model Trainer - Healthcare Industry
Objective: To create and improve AI-generated content in the healthcare industry using a large language model (LLM) and subject matter expertise.
Responsibilities: 
- Create, evaluate, and refine prompt responses for the LLM
- Communicate effectively and craft realistic and nuanced AI prompts
- Rank and prioritize healthcare topics
- Provide vital data to generate accurate and contextually fitting responses
Qualifications: 
- Eligible to work in the Philippines
- Proficient in English with excellent writing and proofreading skills
- Good knowledge of the healthcare subject
- Ability to craft original responses with attention to detail
- Prior experience in AI is not required

Preferred Skills/Experience: 
- Subject matter expert, researcher, academic, student studying healthcare-focused degree, teacher, tutor, or lifelong learner interested in AI development

About the Company and Compensation and Benefits:

Company: Appen
Location: Global
Culture: Appen is a leader in innovative artificial intelligence systems and has a global crowd of over one million skilled contractors.
Compensation: Competitive and based on experience
Benefits: Flexible hours, remote work, opportunity to learn and work in AI, make a positive impact in the AI industry, expand AI-related projects."
122093,muck rack leading saas platform public relation communication professional mission enable organization build trust tell story demonstrate unique value earned medium muck rack public relation management prm platform enables pr team work together find right journalist story send customized pitch build meaningful relationship medium monitor news quantify impact founder controlled fully distributed growing sustainably muck rack received several award unparalleled culture product organization like inc g builtin value resilience transparency ownership customer devotion infuse value everything looking collaborative experienced senior full stack engineer marketing join growth marketing team make big impact senior full stack engineer marketing product growth team work close partnership marketing engineering product design analytics leadership implement marketing led web initiative across platform tool use include anything migrating existing web page wagtail cm building entire content library platform scratch rebuilding web page newly refreshed branding much tech stack includes python django wagtail cm vue j sc webpack celery mysql elasticsearch jest playwright technology team focused scale quality delivery thoughtful customer experience ship frequently without sacrificing work life balance set success role need : year total professional experience software engineer preferably marketing related web project proficiency django similar web framework proficiency wagtail similar content management system cm proficiency modern frontend framework like vue j react proficiency html cs javascript familiarity data analytics measurement platform enable rapid experimentation e g b testing conversion rate optimization user behavior tracking traffic analytics also describe could exciting opportunity : self starter : proactive learning new tech stack identifying new opportunity drive business goal improve user experience breaking large technical project manageable task cm literate : comfortable leveraging content management system like wagtail cm build great editorial end user experience detail oriented : build high quality visually consistent performant web page closely align company branding expectation leadership achieve marketing goal collaborative : work closely non technical colleague understand problem recommend solution carry solution timely fashion addition always looking candidate : excellent communication skill ability explain idea clearly give receive feedback foster good rapport teammate take pride quality code code readable testable understandable year later adhere zen python work well fast paced development environment testing continuous integration multiple daily deploys ability manage complexity large project incur technical debt considering tradeoff take logical approach problem solving combine analytical thinking intuition interest journalism news medium social medium interview overviewbelow youll find outline interview plan role please note expect process look like may ask supplemental information require additional step making final decision min interview member talent team min interview hiring manager take home coding assignment hour max minute code review discussion two min peer panel interview two final min executive interview salarythe starting salary role depending skill experience take geo neutral approach compensation within u meaning pay based job function level location country competitive pay band based market standard muck rack remote work forever fully distributed team pledged remain way forever offer employee full home office setup phone internet reimbursement monthly coworking membership build culture virtual person team bonding,"Job Information:
The job opening is for a senior full stack engineer in the marketing and product growth team at Muck Rack, a leading SaaS platform for public relations and communication professionals. The objective of the position is to make a big impact by implementing marketing-led web initiatives across the platform. The responsibilities include migrating existing web pages to the Wagtail CMS, building the entire content library from scratch, and rebuilding web pages with the newly refreshed branding. The preferred qualifications include a minimum of 1 year of professional experience as a software engineer, proficiency in Django or similar web frameworks, Wagtail or similar CMS, and modern frontend frameworks like Vue.js or React. Familiarity with data analytics and measurement platforms for rapid experimentation and user behavior tracking is also desired.

About the company and Compensation and Benefits:
Muck Rack is a fully distributed company with a mission to enable organizations to build trust, tell their story, and demonstrate their unique value through earned media. The company has received several awards and is known for its unparalleled culture, resilience, transparency, ownership, and customer devotion. The compensation for the role is competitive and based on the candidate's skill and experience. Muck Rack offers a remote work setup with a full home office setup, phone and internet reimbursement, and a monthly coworking membership. The company values virtual and in-person team bonding activities to build a strong culture."
122094,founded easypost yc unicorn whose mission make shipping simple business garage startup fortune shipping ever backbone global economy integrating technology enabled operation modern business low tech complex shipping industry always challenge easypost solves problem first developer friendly rest api shipping continue push boundary discover new way simplify shipping team rapidly growing perfect time get board join u help build shipping infrastructure future role : data analyst ii play critical role analyzing interpreting complex data set provide valuable insight support data driven decision making responsible collecting organizing analyzing data various source identifying trend pattern communicating finding stakeholder work contribute improving operational efficiency optimizing business strategy driving overall growth : analyze trend identify opportunity support customer growth initiative conduct insightful ad hoc analysis investigate ongoing one time operational issue compile organize data various source support recurring operational process assist maintaining dashboard repository tableau partner engineering business lead audit accuracy completeness reporting create maintain repository company wide metric definition enhance customer knowledge base participate special project required maintain user confidence data accuracy protect operation keeping information confidential : bachelor degree computer science mathematics statistic finance related technical field year related experience master degree year related experience equivalent related work experience problem solving troubleshooting skill ability exercise mature judgment ability follow project deliverable completion comfortable working independently general guidance year experience sql excel bi tool like tableau basic knowledge scripting language like python preferred offer : comprehensive medical dental vision life insuranceo competitive compensation package equityo k matcho monthly work home stipend neto flexible work schedule paid time offo collaborative culture supportive teamo great place work unlimited growth opportunitieso opportunity make massive contribution hyper growth companyo make impact product helping ship million package per daydata privacy notice job applicant : information personal data processing please see privacy policy : http : www easypost com privacy easypost equal opportunity employer employment decision made without regard race color religion national ethnic origin sex sexual orientation gender identity expression age disability protected veteran status characteristic protected law considered position must authorized based united state,"Job Information:
- Job Title: Data Analyst II
- Job Objective: To play a critical role in analyzing and interpreting complex data sets to provide valuable insights and support data-driven decision making.
- Responsibilities/Key Duties: Collecting, organizing, and analyzing data from various sources, identifying trends and patterns, communicating findings to stakeholders, improving operational efficiency, optimizing business strategy, and driving overall growth.
- Qualifications/Requirements: Bachelor's degree in computer science, mathematics, statistics, finance, or a related technical field. 1 year of related experience with a master's degree or 2 years of equivalent related work experience. Problem-solving and troubleshooting skills, ability to exercise mature judgment, ability to follow project deliverables, and proficiency in SQL, Excel, and BI tools like Tableau. Basic knowledge of scripting language like Python preferred.

About the Company and Compensation and Benefits:
- Company: EasyPost
- Mission: To make shipping simple for businesses by integrating technology-enabled operations in the complex shipping industry.
- Location: Not specified
- Culture/Values/Mission: EasyPost aims to simplify shipping and is a developer-friendly company with a focus on pushing boundaries and discovering new ways to simplify shipping.
- Compensation and Benefits: Competitive compensation package with equity, comprehensive medical, dental, vision, and life insurance, 401(k) match, monthly work-from-home stipend, flexible work schedule, paid time off, collaborative culture, supportive team, unlimited growth opportunities, and the opportunity to make a massive contribution to a hyper-growth company."
122096,welcome lumos lumos app governance platform help company keep track digital asset like apps permission first enterprise level appstore lumos empowers company manage digital resource effectively save money making sure theyre spending much tooling dont really need doesnt love saving money right wait there lumos also like guardian angel make sure right people access sensitive data account keeping company digital secret safe unauthorized access mean company work confidently knowing information well protected lumos team job better faster freeing time important thing company enjoy smoother secure digital environment plus lumos growing like crazy backing andreessen horowitz z team grown amazing human exponentially growing customer base join u path write career story u job description overall descriptionas lumos second recruiter leverage recruiting expertise build team hire directly influence culture bring new alchemist build category defining product partner closely hiring manager leadership team understand talent need source candidate build process develop strong relationship future prospect addition day day task opportunity think creatively build scale recruiting function thoughtfully bring passive active top talent pipeline responsibility provide full cycle recruiting support across engineering product design go market role sale marketing design customer success serve consultative partner hiring manger working closely deeply understand role requirement ass interview loop performance provide guidance area opportunity build repeatable process scale u alchemist beyond develop short long term recruiting strategy lend quickly filling top priority opening building diverse equitable inclusive team serve ambassador culture brand strong positive experience candidate valuewe purposefully create standard list minimum qualification care much motivation excitement potential grow role cv instead focusing people need focus people need additionally try find whether would good fit lumos based value define achieve outcome characteristic value encourage apply even think might perfect fit thank considering lumos benefit perk : remote work culture hour pst medical vision dental coverage covered lumos quarterly team bonding trip fully covered lumos annual bonding stipend even travel flexibility optimal wfh setup set success unlimited pto minimum time make sure rested able best month birthing non birthing parent wellness stipend keep awesome healthy k contribution plan thank considering u flattered,"Job Information (150 words max): The job opening is for a position at Lumos, a company that offers an app governance platform to help companies manage their digital assets effectively. The specific position is not mentioned, but it is described as a second recruiter role, responsible for leveraging recruiting expertise to build a team and directly influence the company's culture. The job involves sourcing candidates, developing a strong relationship with future prospects, and providing full-cycle recruiting support across various departments. The role requires creativity, scalability, and a focus on building a diverse and inclusive team. The job description emphasizes the importance of motivation, excitement, and potential for growth, rather than specific qualifications. 

About the company and Compensation and Benefits (50 words max): Lumos is a growing company backed by Andreessen Horowitz. They prioritize a secure and efficient digital environment for their customers and offer remote work culture, medical, vision, and dental coverage, quarterly team bonding trips, and an annual bonding stipend. They also provide travel flexibility, unlimited PTO, a wellness stipend, and a 401(k) contribution plan."
121586,jasper,"Job Information:
- Job Title: Jasper
- Job Objective: The specific position being advertised is for a role called ""Jasper.""
- Responsibilities/Key Duties: The job responsibilities and key duties are not mentioned in the job opening.
- Qualifications/Requirements: The job opening does not provide any information about the qualifications or requirements for the position.
- Preferred Skills/Experience: The job opening does not mention any preferred skills or experience for the position.

About the Company and Compensation and Benefits:
- Company Name: The job opening does not mention the name of the hiring company.
- Location: The job opening does not provide any information about the location of the company.
- Culture, Values, or Mission: The job opening does not provide any information about the culture, values, or mission of the company.
- Compensation and Benefits: The job opening does not mention any information about the compensation and benefits associated with the job."
