ids,batches,summaries
122075,"Senior Software EngineerSummaryThe Wikimedia Foundation is looking for product software engineers to join our team, reporting to product engineering management. As a product software engineer, you will be responsible for software engineering for our product user experiences. In this role, you will work in a mostly-remote environment, where we value teamwork and a consensus-oriented approach. You get to write open source code for collaborative experiences supporting over a billion users, and you get to do it at a place that believes were all more successful when everyone has a good work-life balance.You are responsible for: Improving the Wikipedia product experience Iterating on new products and features through collaboration with designers and product managers Writing multilingual and accessible JavaScript, CSS, and PHP Creating and maintaining internet APIs with server scripting languages Instrumenting components to monitor feature and quality characteristics Leveraging caching and persistence technologies Skills and experience: 5+ years related professional experience in functional programming or OOP Experience building user-friendly features and software components with good performance Focused software engineering: you enjoy writing unit and integration tests, proactively addressing security and code review feedback, and thoughtfully balancing architectural tradeoffs Qualities that are important to us: A desire to make meaningful contributions to knowledge equity, free culture, and open access An emphasis on communicating clearly in both synchronous and asynchronous channels Additionally, wed love it if you have this: Fluency in one or more regional languages in Africa, Asia, or Latin America Experience developing for markets in Africa, Asia, or Latin America Practical skills with Vue.js or React A history of open source contributions Bachelors, masters, or doctorate degree in computer science, management information systems, or STEM field (or equivalent certification) Familiarity with Wikipedia / wikitext / markdown editing or content management systems (e.g., MediaWiki, Drupal, WordPress). We grow and care for MediaWiki and Wikimedia specific services. MediaWiki is an open source, PHP, MySQL, and JavaScript web application that powers Wikipedia and other Wikimedia Foundation websites. It has been incrementally developed for over 15 years to become a richly featured wiki engine and the basis for hundreds of extensions and skins, and has a vibrant volunteer community. Our services layers utilize a number of technologies. The following teams are actively seeking candidates:Web TeamOn the Web Team, we work to improve the user experience for the readers of Wikimedia sites. These readers are responsible for 25 Billion monthly page views, from up to 2 Billion unique devices. We’re currently working to bring dark mode and font size customization to our users, as well as","Job Information:
- Job Title: Senior Software Engineer
- Job Objective: To improve the Wikipedia product experience and iterate on new products and features through collaboration with designers and product managers. Responsible for writing multilingual and accessible JavaScript, CSS, and PHP, creating and maintaining internet APIs, and instrumenting components to monitor feature and quality characteristics.
- Responsibilities/Key Duties: Improving the Wikipedia product experience, iterating on new products and features, writing multilingual and accessible code, creating and maintaining internet APIs, instrumenting components for monitoring, leveraging caching and persistence technologies.
- Qualifications/Requirements: 5+ years of related professional experience in functional programming or OOP, experience building user-friendly features and software components, focused software engineering skills, fluency in one or more regional languages in Africa, Asia, or Latin America (preferred), familiarity with Wikipedia and content management systems.

About the company and Compensation and Benefits:
- Company: Wikimedia Foundation
- Location: Mostly-remote environment
- Culture and Values: Values teamwork and a consensus-oriented approach, believes in work-life balance, emphasis on meaningful contributions to knowledge equity, free culture, and open access.
- Compensation and Benefits: Not mentioned in the provided information."
122076,"Employment Hero is an Australian tech unicorn - valued at over $1 billion. Our world-class software is the easiest way for small to medium-sized businesses to manage HR, payroll, employee engagement, and benefits. We’ve grown 100% year on year since inception, and expanded globally in late 2020. We now service over 80,000 businesses and we will continue to grow rapidly in 2022 and beyond.We believe in distributed employment and take a ‘Remote First approach with our team. Employment Hero can hire across the globe, assuming that candidates have eligible working rights and are in a suitable timezone. If youve got the skills for the role and the passion for our mission then we want to hear from you!About The RoleOur Managed Implementations teams are responsible for implementing the Employment Hero platform with customers. Recently customer research, along with team and customer feedback, has shown we have need to review the way our managed implementations team provide services in order to meet customer expectations and increase employee happiness. As part of this change we need to improve the way we manage our direct implementations partners, working as part of our Managed Implementations team, the Implementation Vendor Manager is responsible for managing relationships with our direct implementation partnersWorking with the Senior Manager, Implementations in identifying potential vendors, evaluating their capabilities and experience, negotiating contracts, and managing vendor relationships. You will need to re-imagine the way we interact with our implementations partners and design a robust vendor program to ensure success. This role is accountable for building metrics, managing measuring performance, mitigate vendor risks, drive innovative solutions, and establish ways of working to achieve company objectives.You will be a primary contact point for our implementations partners, managing escalations and ensuring they manage their project portfolios in line with our customer experience standards, on time and on budget. This role is challenging, to be successful, you will need to communicate effectively, influence stakeholders, prioritise tasks, and drive outcomes.ResponsibilitiesProject planning and coordination: Work closely with vendors to develop project plans, timelines, and budgets. They ensure that the vendors deliverables are aligned with the projects objectives, and coordinate project activities with internal stakeholders.Quality control and assurance: ensuring that vendors deliver high-quality work that meets project requirements and specifications. They establish quality control processes, conduct regular reviews and audits, and monitor vendor performance against service level agreements (SLAs).Risk management: Identifying and managing risks associated with vendor performance. Develop risk management plans, monitor and report on risk mitigation strategies, and escalate issues as needed.Communication and reporting: maintaining regular","Job Information:
- Job Title: Implementation Vendor Manager
- Job Objective: Improve the way the managed implementations team provides services, manage relationships with direct implementation partners, and design a robust vendor program.
- Responsibilities/Key Duties: 
  1. Project planning and coordination with vendors.
  2. Quality control and assurance of vendor deliverables.
  3. Risk management associated with vendor performance.
  4. Communication and reporting with stakeholders.

Qualifications/Requirements:
- Strong communication and influencing skills.
- Ability to prioritize tasks and drive outcomes.

Preferred Skills/Experience:
- Experience in project management and vendor management.
- Knowledge of HR software implementation.

About the company and Compensation and Benefits:
- Company Name: Employment Hero
- Location: Australia (with a remote-first approach)
- Culture and Values: Belief in distributed employment and a mission to help small to medium-sized businesses manage HR, payroll, employee engagement, and benefits.
- Financial Aspects: Valued at over $1 billion, growing rapidly, and servicing over 80,000 businesses.
- Additional Perks: Ability to work remotely with eligible working rights and suitable timezone."
122077,"About AgreenaAgreena is an exciting, dynamic and purpose-oriented organisation united in a mission to drive impact for farmers and the climate. While we’re rooted in agriculture, finance and technology, our team of experts range from soil carbon scientists and software developers to market strategists and regulatory affairs experts. More than 30 nationalities are gathered under the common Agreena flag – either working from our headquarters in Copenhagen or remotely across Europe.Our company offers a supportive and positive work environment with opportunities for learning, leading and growth no matter where you are in your professional journey. We believe in giving our employees a lot of responsibility, and we encourage new thinking, innovation and fun.Agricultural Data CollectionAgricultural data collection from August 2023 to June 2024 across PolandAgreena is seeking part-time seasonal agricultural data collection contractors across Poland to help with in-field data collection as part of ongoing sustainability projects tracking regenerative agricultural practices in agrifood supply chains.Responsibilities: Travelling to local designated areas of interest and collecting information including which crop is being grown and the level of tillage intensity. Following a simple protocol to document the required type data per field. Logging the information for each field on a mobile device using an easy to use app. The field surveys are conducted from the roadside. Uploading data daily. Requirements: Travel may be required to farms in your assigned region, which will be determined based on your geographic location An iPhone/Android phone or tablet to run our data collection app A valid driver’s licence Your own car to travel to the assigned location Experience working in agriculture to a level where you can reliably and confidently identify major crops and the type and intensity of tillage performed. Timeline: This work will take place from August 2023 to June 2024 The work is flexible to your schedule as you choose the number of hours and when you work but a minimum of 8 hours (1 day) per week is required. Compensation: Employment is contract based and all surveyors are self-employed, meaning all tax responsibilities are that of the contractors Payment will be made per data point collected The average payment for a full day of data collection (8 hours collecting) is 640 - 800 PLN plus the expenses listed below: Lunch is covered at a rate of 30 PLN per full 8 hour dayMileage is covered at a set rate of 1.15 PLN per KmIf you would like to be part of this exciting project with the ultimate goal of rewarding farmers for regenerative and sustainable","Job Information:
- Job Title: Part-time Seasonal Agricultural Data Collection Contractor
- Job Objective: To assist in-field data collection for ongoing sustainability projects tracking regenerative agricultural practices in agrifood supply chains.
- Responsibilities/Key Duties: 
  - Traveling to designated areas and collecting information on crop types and tillage intensity.
  - Following a protocol to document required data per field.
  - Logging information on a mobile device using an app.
  - Conducting field surveys from the roadside.
  - Uploading data daily.
- Qualifications/Requirements: 
  - Willingness to travel to farms in assigned region.
  - Possession of an iPhone/Android phone or tablet.
  - Valid driver's license and own car.
  - Experience in agriculture to confidently identify major crops and tillage practices.
- Preferred Skills/Experience: Not specified.

About the company and Compensation and Benefits:
- Company Name: Agreena
- Location: Headquarters in Copenhagen, with remote work across Europe.
- Culture/Values/Mission: Purpose-oriented organization driving impact for farmers and the climate.
- Work Environment: Supportive and positive with opportunities for learning, leading, and growth.
- Compensation: 
  - Employment is contract-based and self-employed.
  - Payment per data point collected.
  - Average payment for a full day of data collection is 640 - 800 PLN.
- Additional Perks: 
  - Lunch covered at a rate of 30 PLN per full 8-hour day.
  - Mileage covered at a rate of 1.15 PLN per km."
122083,"OverviewRarebase is an early-stage biotechnology public benefit corporation based in Palo Alto, California working to advance personalized medicine for the thousands of genetic diseases that have no effective treatments. We operate at the intersection of technology and biology, collaborating closely with patient communities to ensure that drug discovery and development is aligned with our shared goals - to bring effective treatments to the clinic as quickly and safely as possible.Our Function™ drug and target discovery platform integrates cellular modeling of disease with functional genomics, high throughput screening, high content imaging and computational biology to identify molecules that address the underlying biology of genetic diseases. To support our rapid growth, we are building a next-generation automated lab and are recruiting a San Francisco Bay Area-based scientific team to be intimately involved in its development.Rarebase is backed by top-tier institutional investors, pharma and biotech angel investors, families personally affected by rare disease, and others that truly care about our mission to re-invent therapeutic development for genetic diseases. Our advisors are leaders in the biotech and genetic disease community.The OpportunityAs the Scientific Partnerships Lead, you’ll be the first in line to translate complex scientific concepts to patient organizations and patient advocates directly impacted by rare disease. In this highly visible role, you will connect with new and existing external partners and will take the lead on building trust as well as nurturing, managing, and tracking relationships as they evolve. Throughout the collaboration lifecycle, you will work cross functionally with our science, computational biology, and research operations teams to convert new relationships to formal research collaborations.To be successful in this role you will need a strong understanding of genetics and the drug discovery process and will need to be comfortable discussing these sensitive topics to a wide range of audiences including academics, industry professionals, and laypeople. You’ll be a great candidate if you are excited to facilitate the advancement of rare disease programs to the next level and are willing to think outside the box about how best to move opportunities to this stage.In keeping with the urgency and determination of the patient organizations we serve, you will identify ways to continuously improve our process and the way that we engage with the rare disease community. Your work will serve as a core component to all that we do and for which we base many downstream operations and product decisions on, and is critical to our growth and success.What you’ll do Organize and lead science focused meetings with patient organizations and their network of scientific advisors (e.g. Scientific Advisory Boards), pulling in members of the Rarebase Science Team as needed Clearly communicate progress of research programs in both scientific and lay terms via written updates","Job Information:
- Job Title: Scientific Partnerships Lead
- Job Objective: The Scientific Partnerships Lead will be responsible for translating complex scientific concepts to patient organizations and advocates impacted by rare diseases. They will build and manage relationships with external partners and work cross-functionally with science, computational biology, and research operations teams to convert relationships into formal research collaborations. The role requires a strong understanding of genetics and the drug discovery process, as well as the ability to communicate effectively with a wide range of audiences.

Responsibilities/Key Duties:
- Organize and lead science-focused meetings with patient organizations and their scientific advisors
- Clearly communicate progress of research programs in scientific and lay terms
- Build and manage relationships with external partners
- Work cross-functionally to convert relationships into formal research collaborations
- Continuously improve processes and engagement with the rare disease community

Qualifications/Requirements:
- Strong understanding of genetics and the drug discovery process
- Comfortable discussing sensitive topics with a wide range of audiences
- Experience in building and managing relationships
- Excellent communication skills, both scientific and lay terms

Preferred Skills/Experience:
- Experience working with patient organizations and advocates
- Knowledge of rare diseases and the rare disease community
- Ability to think outside the box and drive opportunities to the next level

About the company and Compensation and Benefits:
- Company Name: Rarebase
- Location: Palo Alto, California
- Mission: To advance personalized medicine for genetic diseases with no effective treatments
- Financial aspects: Backed by top-tier institutional investors, pharma and biotech angel investors, and families affected by rare disease
- Additional perks: Opportunity to work at the intersection of technology and biology, collaborate closely with patient communities, and contribute to the re"
122085,"Role to support the AML Team in ensuring effective client and matter risk controls are in place and operate across the full range of practice areas within the firm globally. To contribute to ensuring that the firm complies with its regulatory obligations and appropriately manages and mitigates risk issues.An AML Analyst should be proficient with the following core compliance processes: Client Due Diligence (CDD) Process, including managing high risk clients, PEPs and Business Acceptance Committee Processes Client Care and Engagement Terms Sanctions monitoring, including sanction updates Assessment of AML risks depending on the clients jurisdiction, legal, regulatory position and commercial activities Client Pre-Approval processes Matter management, including matter opening and assessing compliance with applicable regulations, rules and policies, including the SRA and Law Society of Scotlands Code of Conduct Compliance auditing and non-compliance reporting Responsibilities Conduct client due diligence (CDD) on new and existing clients and matters from AML, bribery, sanctions and reputational risks perspective. Undertake client and matter risk assessments Undertake CDD on third party payers Assists with the ongoing monitoring of existing clients and matters which requires refreshing CDD on existing clients and includes monitoring high risk clients of the Firm Undertake sanction update screening against the Firms current clients and matters Monitor the Firms online monitoring tool Take ownership of all stages of the AML workflow process and escalate any issues as necessary to senior members of team Advise on matter opening processes including working together matters with other members of the verein Deal with central AML inbox queries Assists with the firms internal audit processes Reviews and updates Dentons internal compliance policies and procedures Assists the AML Operations Manager and Senior Financial Crime Lawyers with projects and ad hoc assignments as required The above list is not exhaustive as the team and the firm continue to evolve and develop with the changing domestic and international legal landscapes and as we identify new ways of improving our service to the firm. More important than any particular skill, we are looking for dynamic and flexible team players with highly developed critical thinking who can assess legal and commercial risks presented to the firm and advise on appropriate mitigation strategies. Requirements Relevant university degree Legal or compliance experience working in a law firm or a professional services environment. Other experiences which demonstrate the necessary critical thinking and risk assessment will be considered. Highly effective research skills using all relevant information sources, including IT resources and ability to use them to their full potential A good knowledge of relevant compliance rules and regulations, including (but not limited to) client care, conflicts of interest, confidentiality, anti-bribery and corruption, money laundering,","Job Information:
Title: AML Analyst
Objective: Support the AML Team in ensuring effective client and matter risk controls are in place and comply with regulatory obligations.
Responsibilities: Conduct client due diligence, undertake risk assessments, monitor existing clients and matters, perform sanction updates, manage AML workflow process, advise on matter opening processes, assist with internal audit processes, review and update compliance policies and procedures.
Qualifications: Relevant university degree, legal or compliance experience in a law firm or professional services environment, effective research skills, knowledge of compliance rules and regulations.

About the company and Compensation and Benefits:
Company: Dentons
Location: Not specified
Culture/Values/Mission: Not specified
Compensation and Benefits: Not mentioned"
122086,"We’re seeking people with proficiency in the Healthcare industry, good writing skills and an interest in Artificial Intelligence (AI) to join our community of AI Model Trainers. Appens community of experts and workers help create and improve AI-generated content, applying their subject-matter expertise and writing ability to help influence and refine large language models (LLM). LLM’s are the fast-developing technology underpinning new Generative AI products like ChatGPT and our work is a key input to making AI models more effective and safer for users.After a simple qualification process, you’ll be providing the model with vital data to generate accurate and contextually fitting responses for Healthcare-related topics. As a member of our community, you can then choose to contribute on a variety of projects as they become available. Projects range in length from a few hours to multiple weeks, or even months; offering you ultimate flexibility to manage your own schedule. * We have a paid project opening now requiring 10-15 hours of work, so dont hesitate! Apply now and dive into the exciting world of AI model training. Your role: Your main responsibility will be to create, evaluate, and refine pairs of prompts and responses for a sophisticated LLM. You’ll need to effectively communicate your understanding of Healthcare topics to rank and craft realistic and nuanced AI prompts (what you might ask an AI model) and responses (what you want the AI model to answer). You will be provided access to training materials and calibration exercises to learn what a good answer is like. What you need: Must be eligible to work in Philippines US English language speaker with good writing and proofreading skills Good knowledge of Healthcare subjects and the ability to craft original responses Excellent attention to detail A learning mindset - no prior experience in AI is needed What we offer: Flexible hours Remote work Competitive compensation Opportunity to learn and work in AI, and to make a positive impact on the development of the AI industry Opportunity to expand to other AI-related projects This opportunity will suit: People seeking a gig-based opportunity to earn additional income while gaining hands-on experience in AI: Subject matter experts, researchers and academics who want to learn and contribute to AI development Students currently studying a Healthcare focused degree Teachers tutors with hands-on experience teaching Healthcare subjects Lifelong learners interested in exploring opportunities in AI Easy to apply: 1.Register 5 minutes: Click Apply and complete the application form.2.Guidelines Quiz 15 minutes: Take the Guidelines Quiz - a link will be sent to you by email once you submit your application. 3.Calibration task 60","Job Information:
- Job Title: AI Model Trainer
- Job Objective: To create, evaluate, and refine prompts and responses for a sophisticated language model in the healthcare industry.
- Responsibilities/Key Duties: Communicate understanding of healthcare topics to rank and craft AI prompts and responses. Provide vital data to generate accurate and contextually fitting responses. Access training materials and calibration exercises to learn what a good answer is like.
- Qualifications/Requirements: Eligible to work in the Philippines. Proficient in US English with good writing and proofreading skills. Knowledge of healthcare subjects. Attention to detail. No prior experience in AI needed.

About the company and Compensation and Benefits:
- Company: Appen
- Location: Not specified
- Culture/Values/Mission: Not mentioned
- Compensation: Competitive
- Benefits: Flexible hours, remote work, opportunity to learn and work in AI, opportunity to make a positive impact on the development of the AI industry, opportunity to expand to other AI-related projects."
122093,"Muck Rack is the leading SaaS platform for public relations and communications professionals. Our mission is to enable organizations to build trust, tell their stories and demonstrate the unique value of earned media. Muck Rack’s Public Relations Management (PRM) platform enables PR teams to work together to find the right journalists for their stories, send customized pitches, build meaningful relationships with the media, monitor news, and quantify their impact. Founder controlled, fully distributed, and growing sustainably, Muck Rack has received several awards for its unparalleled culture and product from organizations like Inc., G2, and BuiltIn. We value resilience, transparency, ownership, customer devotion and infuse these values into everything we do. We’re looking for a collaborative and experienced senior full-stack engineer, marketing to join our growth marketing team and make a big impact.As a senior full-stack engineer, marketing on the Product Growth team, you’ll work in close partnership with marketing, engineering, product, design, analytics, and leadership to implement marketing-led web initiatives across the platforms and tools that we use. This can include anything from migrating existing web pages into Wagtail CMS to building an entire content library platform from scratch to rebuilding web pages with our newly refreshed branding and much more.Our tech stack includes Python, Django, Wagtail CMS, Vue.js, SCSS, Webpack, Celery, MySQL, Elasticsearch, Jest, Playwright, and more. Our technology team is focused on scale, quality, delivery, and thoughtful customer experience. We ship frequently without sacrificing work/life balance.To be set up for success in this role, you’ll need to have: 3+ years total professional experience as a software engineer, preferably in marketing-related web projects Proficiency with Django or a similar web framework Proficiency with Wagtail or a similar content management system (CMS) Proficiency with modern frontend frameworks like Vue.js or React Proficiency with HTML, CSS, and JavaScript Familiarity with data analytics and measurement platforms that enable rapid experimentation (e.g A/B testing, conversion rate optimization, user behavior tracking, traffic analytics) If any of the below also describe you, this could be an exciting opportunity: Self-starter: you are proactive about learning a new tech stack, identifying new opportunities to drive business goals and improve user experience, and breaking down large technical projects into manageable tasks CMS literate: you are comfortable leveraging content management systems like Wagtail CMS to build great editorial and end user experiences Detail-oriented: you can build high quality, visually consistent, and performant web pages that closely align with","Job Information:
- Job Title: Senior Full-Stack Engineer, Marketing
- Job Objective: To work in close partnership with marketing, engineering, product, design, analytics, and leadership to implement marketing-led web initiatives across platforms and tools.
- Responsibilities/Key Duties: Migrating existing web pages into Wagtail CMS, building a content library platform, rebuilding web pages with refreshed branding, and more.
- Qualifications/Requirements: 3+ years of professional experience as a software engineer, proficiency with Django or a similar web framework, proficiency with Wagtail or a similar CMS, proficiency with Vue.js or React, proficiency with HTML, CSS, and JavaScript, familiarity with data analytics and measurement platforms.

About the company and Compensation and Benefits:
- Company: Muck Rack
- Location: Not specified
- Culture/Values: Founder controlled, fully distributed, resilient, transparent, ownership, customer devotion
- Mission: To enable organizations to build trust, tell their stories, and demonstrate the unique value of earned media.
- Compensation and Benefits: Not mentioned in the provided text."
122094,"Founded in 2012, EasyPost is a YC unicorn whose mission is to make shipping simple for businesses, from garage startups to the Fortune 500. Shipping, now more than ever, is the backbone of the global economy, but integrating the technology-enabled operations of a modern business with the low-tech and complex shipping industry has always been a challenge. EasyPost solves this problem with the first developer-friendly REST API for shipping, and we continue to push boundaries and discover new ways to simplify shipping for all. Our team is rapidly growing, and this is the perfect time to get on board. Join us, and help build the shipping infrastructure of the future.About the role:As a Data Analyst II, you will play a critical role in analyzing and interpreting complex data sets to provide valuable insights and support data-driven decision-making. You will be responsible for collecting, organizing, and analyzing data from various sources, identifying trends and patterns, and communicating findings to stakeholders. Your work will contribute to improving operational efficiency, optimizing business strategies, and driving overall growth.What you will do:o Analyze trends and identify opportunities to support customer growth initiatives. o Conduct insightful, ad-hoc analyses to investigate ongoing or one-time operational issues. o Compile and organize data from various sources to support recurring operational processes. o Assist in maintaining our dashboard repository in Tableau. 0 Partner with engineering and business leads to audit the accuracy and completeness of our reporting. o Create and maintain a repository of company-wide metric definitions. o Enhance our customer knowledge base and participate in special projects as required. o Maintain user confidence through data accuracy and protect operations by keeping information confidential.About you: o Bachelor’s Degree in Computer Science, Mathematics, Statistics, Finance, or a related technical field.o 3+ years of related experience, master’s degree, and 1+ years of related experience, or equivalent related work experience. o Problem solving and troubleshooting skills with the ability to exercise mature judgment. o Ability to follow through on project deliverables to completion. o Comfortable working independently under general guidance. o 2-3 years experience with SQL, Excel, and BI Tools like Tableau. o Basic knowledge of scripting languages like Python is preferred.What We Offer:o Comprehensive medical, dental, vision, and life insuranceo Competitive compensation package and equityo 401(k) matcho Monthly work from home stipend of $50 neto Flexible work schedule and paid time offo Collaborative culture with a supportive teamo A great place to work with unlimited growth opportunitieso The opportunity to make massive","Job Information:
- Job Title: Data Analyst II
- Job Objective: Analyzing and interpreting complex data sets to provide valuable insights and support data-driven decision-making. Contributing to improving operational efficiency, optimizing business strategies, and driving overall growth.
- Responsibilities/Key Duties: Analyzing trends and identifying opportunities for customer growth initiatives, conducting ad-hoc analyses to investigate operational issues, organizing and analyzing data from various sources, maintaining dashboard repository in Tableau, auditing reporting accuracy, creating and maintaining a repository of company-wide metric definitions, enhancing customer knowledge base, participating in special projects, ensuring data accuracy and confidentiality.
- Qualifications/Requirements: Bachelor's Degree in Computer Science, Mathematics, Statistics, Finance, or a related technical field. 3+ years of related experience (or master's degree with 1+ years of experience). Problem-solving and troubleshooting skills, ability to follow through on project deliverables, ability to work independently, proficiency in SQL, Excel, and Tableau, basic knowledge of scripting languages like Python preferred.

About the company and Compensation and Benefits:
- Company: EasyPost, founded in 2012, is a YC unicorn that aims to simplify shipping for businesses of all sizes. They provide a developer-friendly REST API for shipping and are rapidly growing.
- Compensation and Benefits: Comprehensive medical, dental, vision, and life insurance. Competitive compensation package and equity. 401(k) match. Monthly work from home stipend of $50 net. Flexible work schedule and paid time off. Collaborative culture with a supportive team. Unlimited growth opportunities."
122096,"Welcome to Lumos! ☀️ 🌟 Lumos is an app governance platform that helps companies keep track of all their digital assets, like apps and permissions, through the first Enterprise level AppStore. Lumos empowers companies to manage their digital resources effectively and save money by making sure theyre not spending too much on tooling they dont really need. And who doesnt love saving money, right? 🧰 But wait, theres more! Lumos is also like a guardian angel that makes sure only the right people have access to sensitive data and accounts, keeping the companys digital secrets safe from unauthorized access. This means that companies can work more confidently, knowing that their information is well protected. 🏢 With Lumos, IT teams can do their jobs better and faster, freeing up more time for other important things, and the company can enjoy a smoother and more secure digital environment. Plus, Lumos is growing like crazy! With backing from Andreessen Horowitz (a16z), our team has grown to over +65 amazing humans, and were exponentially growing our customer base. Join us on our path and write your career story with us! 💙 Job Description🔦 Overall descriptionAs Lumos second Recruiter, you will leverage your recruiting expertise to build our team. Your hires will directly influence our culture as we bring on new Alchemists to build a category-defining product! You will partner closely with hiring managers and the leadership team to understand talent needs, source candidates, build processes, and develop strong relationships with future prospects. In addition to these day-to-day tasks, you will have the opportunity to think creatively, build out and scale the recruiting function thoughtfully, and bring passive and active top talent into the pipeline.✨ Your Responsibilities Provide full-cycle recruiting support across Engineering, Product, Design OR Go-to-Market roles (Sales, Marketing, Design, Customer Success) Serve as a consultative partner to hiring mangers, working closely with them to deeply understand role requirements, assess interview loop performance, and provide guidance on areas of opportunity Build repeatable processes that will scale us to 100 Alchemists and beyond Develop short- and long-term recruiting strategies that lend themselves to quickly filling top-priority openings and building diverse, equitable, and inclusive teams Serve as an ambassador of our culture and brand with a strong and positive experience to all candidates 🙌 What We ValueWe purposefully did not create a standard list of minimum qualifications because we care much more about your motivation, excitement, and potential to grow into","Job Information:
- Job Title: Recruiter
- Job Objective: The objective of the position is to build the team and influence the company's culture by hiring new Alchemists to develop a category-defining product.
- Responsibilities/Key Duties: The recruiter will provide full-cycle recruiting support for Engineering, Product, Design, or Go-to-Market roles. They will work closely with hiring managers to understand role requirements, assess interview performance, and develop recruiting strategies. The recruiter will also build processes to scale the recruiting function and ensure a positive candidate experience.
- Qualifications/Requirements: The job posting does not mention specific qualifications or requirements.

About the company and Compensation and Benefits:
- Company: Lumos is an app governance platform that helps companies manage their digital assets effectively. They aim to save companies money by ensuring they only spend on necessary tools and protect sensitive data from unauthorized access.
- Location: The location of the company is not mentioned in the job posting.
- Culture/Values/Mission: The job posting mentions that Lumos empowers companies to work confidently and provides a smoother and more secure digital environment.
- Compensation and Benefits: The job posting does not provide information about compensation and benefits."
121586,Jasper,"Job Information:
- Job Title: Jasper
- Job Objective: The specific position being advertised is for a role called ""Jasper.""
- Responsibilities/Key Duties: The job responsibilities and key duties are not mentioned in the job opening.
- Qualifications/Requirements: The job opening does not provide any information about the qualifications or requirements for the position.
- Preferred Skills/Experience: The job opening does not mention any preferred skills or experience for the position.

About the Company and Compensation and Benefits:
- Company Name: The job opening does not mention the name of the hiring company.
- Location: The job opening does not provide any information about the location of the company.
- Culture, Values, or Mission: The job opening does not provide any information about the culture, values, or mission of the company.
- Compensation and Benefits: The job opening does not mention any information about the compensation and benefits associated with the job."
